Location,City,RCM,Region,Bounding Territory,Display Name,Bounding Type,Bounding Population,GeoPy Index
Mirabel,Mirabel,Mirabel,Laurentides,"[Mirabel,-Deux-Montagnes,-La Rivière-du-Nord,-Thérèse-De Blainville]",Mirabel,Municipality,60000,0
Saint-Eustache,Saint-Eustache,Deux-Montagnes,Laurentides,Deux-Montagnes,Deux-Montagnes,Regional County Municipality (RCM),100000,1
Blainville,Blainville,Thérèse-De Blainville,Laurentides,Thérèse-De Blainville,Thérèse-De Blainville,Regional County Municipality (RCM),160000,0
Saint-Jérôme,Saint-Jérôme,La Rivière-du-Nord,Laurentides,La Rivière-du-Nord,La Rivière-du-Nord,Regional County Municipality (RCM),130000,0
Saguenay,Saguenay,Saguenay,Saguenay-Lac-Saint-Jean,Saguenay,Ville de Saguenay,Municipality,150000,1
Roberval,Roberval,Le Domaine-du-Roy,Saguenay-Lac-Saint-Jean,Le Domaine-du-Roy,Le Domaine-du-Roy,Regional County Municipality (RCM),30000,0
Alma,Alma,Lac-Saint-Jean-Est,Saguenay-Lac-Saint-Jean,Lac-Saint-Jean-Est,Lac-Saint-Jean-Est,Regional County Municipality (RCM),50000,0
Dolbeau-Mistassini,Dolbeau-Mistassini,Maria-Chapdelaine,Saguenay-Lac-Saint-Jean,"[Le Fjord-du-Saguenay,Maria-Chapdelaine]",Le Fjord-du-Saguenay & Maria-Chapdelaine,Regional County Municipality (RCM),45000,0
Saint-Honoré,Saint-Honoré,Le Fjord-du-Saguenay,Saguenay-Lac-Saint-Jean,"[Le Fjord-du-Saguenay,Maria-Chapdelaine]",Le Fjord-du-Saguenay & Maria-Chapdelaine,Regional County Municipality (RCM),45000,0
Baie-Comeau,Baie-Comeau,Manicouagan,Côte-Nord,Côte-Nord,Côte-Nord,Administative Region,90000,0
Chibougamau,Chibougamau,Jamésie,Nord-du-Québec,Nord-du-Québec,Nord-du-Québec,Administative Region,45000,0
